model,weight_decay,dropout_rate,learning_rate,epoch,metric,value
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/mrr@10,0.06810973584651947
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/mrr@10,0.1078658476471901
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/mrr@10,0.12725724279880524
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/mrr@10,0.13979004323482513
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/mrr@10,0.14968517422676086
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/mrr@20,0.07319562882184982
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/mrr@20,0.11463888734579086
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/mrr@20,0.13458174467086792
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/mrr@20,0.1473904401063919
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/mrr@20,0.15740074217319489
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/loss,7.262528419494629
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/loss,6.1562933921813965
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/loss,5.799540996551514
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/loss,5.592865943908691
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/loss,5.453470706939697
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Validation/precision@1,0.047839999198913574
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Validation/precision@1,0.06093999743461609
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Validation/precision@1,0.06836000084877014
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Validation/precision@1,0.07429999858140945
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Validation/precision@1,0.0793600007891655
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Validation/precision@5,0.030236000195145607
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Validation/precision@5,0.0378279983997345
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Validation/precision@5,0.04211200028657913
